,customer_id,flavor,after,price
0,0,Coffee,Banana,1470.0
1,0,Banana,none,900.0
2,1,Coffee,none,1390.0
3,2,Coffee,Coffee,1470.0
4,2,Coffee,churned,1470.0
5,3,Apple,Apple,580.0
6,3,Apple,none,580.0
7,4,Apple,Banana,640.0
8,4,Banana,churned,900.0
9,5,Coffee,churned,1390.0
10,6,Coffee,churned,1390.0
11,8,Apple,churned,580.0
12,9,Coffee,Coffee,1470.0
13,9,Coffee,churned,1470.0
14,10,Banana,Banana,750.0
15,10,Banana,churned,750.0
16,11,Banana,Doughnut,750.0
17,11,Doughnut,Banana,590.0
18,11,Banana,churned,750.0
19,12,Banana,Coffee,819.9999999999999
20,12,Coffee,Doughnut,1230.0
21,12,Doughnut,churned,480.0
22,13,Banana,Coffee,750.0
23,13,Coffee,Banana,1390.0
24,13,Banana,churned,750.0
25,14,Banana,churned,900.0
26,15,Banana,Banana,750.0
27,15,Banana,churned,750.0
28,16,Banana,Banana,900.0
29,16,Banana,churned,900.0
30,17,Doughnut,Apple,610.0
31,17,Apple,churned,640.0
32,18,Apple,none,760.0
33,19,Banana,churned,819.9999999999999
34,20,Banana,churned,819.9999999999999
35,21,Apple,Apple,760.0
36,21,Apple,churned,760.0
37,22,Doughnut,Doughnut,370.0
38,22,Doughnut,churned,370.0
39,24,Coffee,Coffee,1470.0
40,24,Coffee,churned,1470.0
41,25,Coffee,Coffee,1480.0
42,25,Coffee,churned,1480.0
43,26,Coffee,churned,1390.0
44,27,Apple,Banana,760.0
45,27,Banana,Coffee,720.0
46,27,Coffee,churned,1200.0
47,28,Apple,Coffee,700.0
48,28,Coffee,churned,1480.0
49,29,Apple,Doughnut,550.0
50,29,Doughnut,churned,480.0
51,30,Coffee,Banana,1390.0
52,30,Banana,churned,750.0
53,31,Banana,churned,720.0
54,32,Doughnut,Coffee,370.0
55,32,Coffee,Coffee,1480.0
56,32,Coffee,churned,1480.0
57,33,Apple,Doughnut,700.0
58,33,Doughnut,Doughnut,370.0
59,33,Doughnut,churned,370.0
60,34,Banana,churned,900.0
61,36,Coffee,churned,1390.0
62,37,Coffee,Banana,1390.0
63,37,Banana,Banana,750.0
